index,inputs,context,topic,org_label,set-0,id,string_label,label
0,"(('Big', 0, 0, 3),)","('Big Managers on Campus',)",,JJ,train,0,0,0
1,"(('Managers', 0, 4, 12),)","('Big Managers on Campus',)",,NNS,train,1,1,1
2,"(('on', 0, 13, 15),)","('Big Managers on Campus',)",,IN,train,2,2,2
3,"(('Campus', 0, 16, 22),)","('Big Managers on Campus',)",,NN,train,3,3,3
4,"(('In', 0, 0, 2),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,IN,train,4,2,2
5,"(('recent', 0, 3, 9),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,JJ,train,5,0,0
6,"(('years', 0, 10, 15),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NNS,train,6,1,1
7,"((',', 0, 16, 17),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,",",train,7,4,4
8,"(('advanced', 0, 18, 26),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,JJ,train,8,0,0
9,"(('education', 0, 27, 36),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NN,train,9,3,3
10,"(('for', 0, 37, 40),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,IN,train,10,2,2
11,"(('professionals', 0, 41, 54),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NNS,train,11,1,1
12,"(('has', 0, 55, 58),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,VBZ,train,12,5,5
13,"(('become', 0, 59, 65),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,VBN,train,13,6,6
14,"(('a', 0, 66, 67),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,DT,train,14,7,7
15,"(('hot', 0, 68, 71),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,JJ,train,15,0,0
16,"(('topic', 0, 72, 77),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NN,train,16,3,3
17,"(('in', 0, 78, 80),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,IN,train,17,2,2
18,"(('the', 0, 81, 84),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,DT,train,18,7,7
19,"(('business', 0, 85, 93),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NN,train,19,3,3
20,"(('community', 0, 94, 103),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,NN,train,20,3,3
21,"(('.', 0, 104, 105),)","('In recent years , advanced education for professionals has become a hot topic in the business community .',)",,.,train,21,8,8
22,"(('With', 0, 0, 4),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,IN,train,22,2,2
23,"(('this', 0, 5, 9),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,DT,train,23,7,7
24,"(('trend', 0, 10, 15),)","('With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .',)",,NN,train,24,3,3
